name_of_gas,temperature scope,a7,a6,a5,a4,a3,a2,a1
CO2-,1000-6000,1.77E-16,-4.36E-12,4.39E-08,-0.000231314,7.680277159,-1082.149543,-160058.9652
CP,298.15-1000,-1.43E-12,6.21E-09,-1.09E-05,0.009574448,0.470851251,347.5913848,-7245.404921
CP,1000-6000,2.91E-17,-7.90E-13,8.57E-09,-2.09E-05,4.645481785,-235.5151122,-97422.67436
CS,298.15-1000,-1.60E-12,6.98E-09,-1.23E-05,0.011044694,-0.333718271,544.3415631,-24691.31238
CS,1000-6000,-2.39E-15,6.23E-11,-5.05E-07,0.001927451,0.838415936,3428.035779,-1476880.764
CS2,298.15-1000,-8.68E-13,4.27E-09,-8.50E-06,0.008552435,3.602813919,103.804544,-31978.17499
CS2,1000-6000,1.22E-16,-2.88E-12,2.66E-08,-5.08E-05,7.89576923,-604.8966508,-134710.7504
SiC,298.15-1000,2.70E-11,-1.20E-07,0.000216434,-0.201523005,103.8803253,-23247.61355,2001641.932
SiC,1000-6000,-1.37E-16,1.87E-12,4.37E-11,-0.000133481,5.911534076,-2436.492421,1504383.437
Si2C,298.15-1000,-8.54E-13,4.35E-09,-8.97E-06,0.009332689,2.852110749,395.9881786,-50698.62373
Si2C,1000-6000,2.21E-14,-4.16E-10,2.74E-06,-0.007104676,15.06738142,-2253.411921,-1061259.522
C2-,298.15-1000,-6.11E-13,3.70E-09,-8.85E-06,0.010674068,-1.922374104,1230.53452,-104651.0981
C2-,1000-6000,-1.42E-15,5.36E-11,-7.16E-07,0.00428263,-5.841920224,10818.95137,-4504712.474
BeC2,298.15-1000,-8.29E-13,5.35E-09,-1.34E-05,0.016777079,-2.738969079,1692.920593,-170396.5752
BeC2,1000-6000,3.10E-16,-7.40E-12,7.24E-08,-0.000372998,8.577682132,-1698.707582,67611.80025
C2Cl2,298.15-1000,1.56E-12,-5.84E-09,8.14E-06,-0.004808068,11.64182527,-988.6971045,36714.71164
C2Cl2,1000-6000,2.61E-16,-6.32E-12,6.29E-08,-0.000330598,11.48133713,-1603.902801,133274.6741
C2Cl4,298.15-1000,-1.91E-12,8.06E-09,-1.35E-05,0.010594875,13.27667915,-1500.850393,96861.9073
C2Cl4,1000-6000,2.57E-16,-4.86E-12,4.12E-08,-0.000195186,16.53805709,-821.5319552,-418037.7245
C2Cl6,298.15-1000,-8.83E-13,1.18E-09,2.91E-06,-0.008197427,30.61165262,-4511.973239,301548.5664
C2Cl6,1000-6000,1.67E-15,-3.73E-11,3.31E-07,-0.001457584,24.57745566,-1310.633287,-709683.8821
C2F2,298.15-1000,-1.59E-12,7.62E-09,-1.49E-05,0.014870784,3.608147554,39.43602323,-16682.076
C2F2,1000-6000,2.38E-16,-5.75E-12,5.68E-08,-0.000295056,11.35783506,-1356.828496,-172965.0359
